,NAME,TEAM,SALARY
311,"Damian Jones, C",Utah Jazz,"$2,298,385"
312,"Quentin Grimes, SG",New York Knicks,"$2,277,000"
313,"Andrew Nembhard, PG",Indiana Pacers,"$2,244,111"
314,"Nikola Jovic, F",Miami Heat,"$2,239,920"
315,"Payton Pritchard, PG",Boston Celtics,"$2,239,200"
316,"Vlatko Cancar, SF",Denver Nuggets,"$2,234,359"
317,"Patrick Baldwin Jr., F",Golden State Warriors,"$2,226,000"
318,"TyTy Washington Jr., G",Houston Rockets,"$2,210,040"
319,"Bones Hyland, PG",LA Clippers,"$2,201,520"
320,"Bol Bol, C",Orlando Magic,"$2,200,000"
321,"Peyton Watson, F",Denver Nuggets,"$2,193,960"
322,"Marquese Chriss, SF",Oklahoma City Thunder,"$2,193,920"
323,"Nik Stauskas, G",Indiana Pacers,"$2,193,920"
324,"Udoka Azubuike, C",Utah Jazz,"$2,174,880"
325,"Jaden McDaniels, PF",Minnesota Timberwolves,"$2,161,440"
326,"Jordan McLaughlin, PG",Minnesota Timberwolves,"$2,160,000"
327,"Malachi Flynn, PG",Toronto Raptors,"$2,145,720"
328,"Cam Thomas, SG",Brooklyn Nets,"$2,138,160"
329,"Luke Kornet, C",Boston Celtics,"$2,133,278"
330,"Desmond Bane, SG",Memphis Grizzlies,"$2,130,240"
331,"Jahlil Okafor, C",Indiana Pacers,"$2,130,023"
332,"Jaden Springer, G",Philadelphia 76ers,"$2,125,200"
333,"Day'Ron Sharpe, C",Brooklyn Nets,"$2,109,480"
334,"Jevon Carter, PG",Milwaukee Bucks,"$2,100,000"
335,"Santi Aldama, PF",Memphis Grizzlies,"$2,094,240"
336,"Frank Ntilikina, PG",Dallas Mavericks,"$2,036,318"
337,"Tony Bradley, C",Chicago Bulls,"$2,036,318"
338,"Jaylin Williams, F",Oklahoma City Thunder,"$2,000,000"
339,"Kenrich Williams, SF",Oklahoma City Thunder,"$2,000,000"
340,"Abdel Nader, SF",Phoenix Suns,"$2,000,000"
341,"Danny Green, F",Cleveland Cavaliers,"$2,000,000"
342,"Caleb Houstan, G",Orlando Magic,"$2,000,000"
343,"Jeremiah Robinson-Earl, F",Oklahoma City Thunder,"$2,000,000"
344,"Garrison Mathews, SG",Atlanta Hawks,"$2,000,000"
345,"Shake Milton, SG",Philadelphia 76ers,"$1,977,718"
346,"Edmond Sumner, PG",Brooklyn Nets,"$1,968,175"
347,"Jontay Porter, C",Toronto Raptors,"$1,950,000"
348,"Denzel Valentine, G",Boston Celtics,"$1,939,350"
349,"Jalen McDaniels, PF",Philadelphia 76ers,"$1,930,681"
350,"Naz Reid, C",Minnesota Timberwolves,"$1,930,681"
351,"Terance Mann, SG",LA Clippers,"$1,930,681"
352,"Jaylen Nowell, G",Minnesota Timberwolves,"$1,930,681"
353,"Daniel Gafford, C",Washington Wizards,"$1,930,681"
354,"Dean Wade, PF",Cleveland Cavaliers,"$1,930,681"
355,"Lindy Waters III, F",Oklahoma City Thunder,"$1,927,896"
356,"Chimezie Metu, PF",Sacramento Kings,"$1,910,680"
357,"Davon Reed, SG",Los Angeles Lakers,"$1,902,133"
358,"Killian Tillie, SF",Memphis Grizzlies,"$1,901,625"
359,"Xavier Tillman, F",Memphis Grizzlies,"$1,901,625"
360,"Theo Maledon, PG",Charlotte Hornets,"$1,900,000"
361,"Wenyen Gabriel, F",Los Angeles Lakers,"$1,878,720"
362,"Moritz Wagner, C",Orlando Magic,"$1,878,720"
363,"Keita Bates-Diop, SF",San Antonio Spurs,"$1,878,720"
364,"Thanasis Antetokounmpo, SF",Milwaukee Bucks,"$1,878,720"
365,"Oshae Brissett, SF",Indiana Pacers,"$1,846,738"
366,"Juancho Hernangomez, PF",Toronto Raptors,"$1,836,090"
367,"Anthony Gill, PF",Washington Wizards,"$1,836,090"
368,"Isaiah Joe, SG",Oklahoma City Thunder,"$1,836,090"
369,"Bismack Biyombo, C",Phoenix Suns,"$1,836,090"
370,"Juan Toscano-Anderson, F",Utah Jazz,"$1,836,090"
371,"Matthew Dellavedova, PG",Sacramento Kings,"$1,836,090"
372,"Robin Lopez, C",Cleveland Cavaliers,"$1,836,090"
373,"Josh Okogie, SF",Phoenix Suns,"$1,836,090"
374,"Drew Eubanks, PF",Portland Trail Blazers,"$1,836,090"
375,"Damion Lee, SG",Phoenix Suns,"$1,836,090"
376,"Dennis Smith Jr., PG",Charlotte Hornets,"$1,836,090"
377,"Dennis Schroder, PG",Los Angeles Lakers,"$1,836,090"
378,"Justin Jackson, F",Boston Celtics,"$1,836,090"
379,"Bryn Forbes, SG",Minnesota Timberwolves,"$1,836,090"
380,"T.J. Warren, SF",Phoenix Suns,"$1,836,090"
381,"Austin Rivers, SG",Minnesota Timberwolves,"$1,836,090"
382,"Thomas Bryant, C",Denver Nuggets,"$1,836,090"
383,"Udonis Haslem, PF",Miami Heat,"$1,836,090"
384,"Aaron Holiday, G",Atlanta Hawks,"$1,836,090"
385,"Frank Kaminsky, PF",Houston Rockets,"$1,836,090"
386,"Rodney McGruder, G",Detroit Pistons,"$1,836,090"
387,"JaMychal Green, F",Golden State Warriors,"$1,836,090"
388,"Andre Iguodala, F",Golden State Warriors,"$1,836,090"
389,"Troy Brown Jr., SF",Los Angeles Lakers,"$1,836,090"
390,"Ryan Arcidiacono, G",Portland Trail Blazers,"$1,836,090"
391,"Taj Gibson, F",Washington Wizards,"$1,836,090"
392,"DeAndre Jordan, C",Denver Nuggets,"$1,836,090"
393,"Theo Pinson, G",Dallas Mavericks,"$1,836,090"
394,"Markieff Morris, PF",Dallas Mavericks,"$1,836,090"
395,"Raul Neto, PG",Cleveland Cavaliers,"$1,836,090"
396,"Matt Ryan, F",Minnesota Timberwolves,"$1,836,090"
397,"Nathan Knight, F",Minnesota Timberwolves,"$1,836,090"
398,"Svi Mykhailiuk, SG",Charlotte Hornets,"$1,836,090"
399,"Noah Vonleh, PF",Boston Celtics,"$1,836,090"
400,"Blake Griffin, PF",Boston Celtics,"$1,836,090"
401,"Wesley Matthews, SG",Milwaukee Bucks,"$1,836,090"
402,"Wes Iwundu, F",Sacramento Kings,"$1,824,003"
403,"Gabe Vincent, PG",Miami Heat,"$1,815,677"
404,"Max Strus, SG",Miami Heat,"$1,815,677"
405,"Javonte Green, G",Chicago Bulls,"$1,815,677"
406,"Juwan Morgan, F",LA Clippers,"$1,815,518"
407,"Herbert Jones, SF",New Orleans Pelicans,"$1,785,000"
408,"Nick Richards, C",Charlotte Hornets,"$1,782,621"
409,"Lamar Stevens, SF",Cleveland Cavaliers,"$1,782,621"
410,"Vernon Carey Jr., C",Washington Wizards,"$1,782,621"
411,"Tre Jones, PG",San Antonio Spurs,"$1,782,621"
412,"KZ Okpala, SF",Sacramento Kings,"$1,782,621"
413,"KJ Martin, F",Houston Rockets,"$1,782,621"
414,"Paul Reed, F",Philadelphia 76ers,"$1,782,621"
415,"Miye Oni, SF",Memphis Grizzlies,"$1,782,621"
416,"Yogi Ferrell, PG",LA Clippers,"$1,782,621"
417,"Alen Smailagic, PF",Golden State Warriors,"$1,782,621"
418,"Naji Marshall, SF",New Orleans Pelicans,"$1,782,621"
419,"Yuta Watanabe, SF",Brooklyn Nets,"$1,762,796"
420,"Khyri Thomas, SG",Houston Rockets,"$1,762,796"
